median ul throughput:400.0, 400.0, 400.0, dl throughput:400.0, 57.14285714285714, 57.14285714285714, median ul mbs throughput:400.0, 400.0, 400.0, dl mbsthroughput:400.0, 57.14285714285714, 57.14285714285714, median ul sbs throughput:0, 0, 0, dl sbs throughput:0, 0, 0
median ul throughput:400.0, 400.0, 400.0, dl throughput:400.0, 400.0, 400.0, median ul mbs throughput:400.0, 400.0, 400.0, dl mbsthroughput:400.0, 400.0, 400.0, median ul sbs throughput:0, 0, 0, dl sbs throughput:0, 0, 0
median ul throughput:400.0, 400.0, 400.0, dl throughput:400.0, 140.0, 26.737967914438503, median ul mbs throughput:400.0, 400.0, 400.0, dl mbsthroughput:400.0, 140.0, 26.737967914438503, median ul sbs throughput:0, 0, 0, dl sbs throughput:0, 0, 0
median ul throughput:400.0, 400.0, 400.0, dl throughput:400.0, 400.0, 400.0, median ul mbs throughput:400.0, 400.0, 400.0, dl mbsthroughput:400.0, 400.0, 400.0, median ul sbs throughput:0, 0, 0, dl sbs throughput:0, 0, 0
median ul throughput:400.0, 400.0, 230.0, dl throughput:400.0, 400.0, 400.0, median ul mbs throughput:400.0, 400.0, 230.0, dl mbsthroughput:400.0, 400.0, 400.0, median ul sbs throughput:0, 0, 0, dl sbs throughput:0, 0, 0
median ul throughput:359.99999999999994, 133.33333333333334, 106.66666666666667, dl throughput:400.0, 400.0, 400.0, median ul mbs throughput:359.99999999999994, 133.33333333333334, 106.66666666666667, dl mbsthroughput:400.0, 400.0, 400.0, median ul sbs throughput:0, 0, 0, dl sbs throughput:0, 0, 0
median ul throughput:400.0, 400.0, 173.33333333333334, dl throughput:369.99999999999994, 200.0, 200.0, median ul mbs throughput:400.0, 400.0, 173.33333333333334, dl mbsthroughput:369.99999999999994, 200.0, 200.0, median ul sbs throughput:0, 0, 0, dl sbs throughput:0, 0, 0
median ul throughput:400.0, 266.6666666666667, 68.57142857142857, dl throughput:400.0, 400.0, 400.0, median ul mbs throughput:400.0, 266.6666666666667, 68.57142857142857, dl mbsthroughput:400.0, 400.0, 400.0, median ul sbs throughput:0, 0, 0, dl sbs throughput:0, 0, 0
median ul throughput:400.0, 400.0, 400.0, dl throughput:400.0, 400.0, 173.33333333333334, median ul mbs throughput:400.0, 400.0, 400.0, dl mbsthroughput:400.0, 400.0, 173.33333333333334, median ul sbs throughput:0, 0, 0, dl sbs throughput:0, 0, 0
median ul throughput:400.0, 400.0, 230.0, dl throughput:400.0, 400.0, 146.66666666666669, median ul mbs throughput:400.0, 400.0, 230.0, dl mbsthroughput:400.0, 400.0, 146.66666666666669, median ul sbs throughput:0, 0, 0, dl sbs throughput:0, 0, 0
median ul throughput:400.0, 400.0, 400.0, dl throughput:400.0, 400.0, 400.0, median ul mbs throughput:400.0, 400.0, 400.0, dl mbsthroughput:400.0, 400.0, 400.0, median ul sbs throughput:0, 0, 0, dl sbs throughput:0, 0, 0
median ul throughput:400.0, 400.0, 240.0, dl throughput:359.99999999999994, 200.0, 90.66666666666667, median ul mbs throughput:400.0, 400.0, 240.0, dl mbsthroughput:359.99999999999994, 200.0, 90.66666666666667, median ul sbs throughput:0, 0, 0, dl sbs throughput:0, 0, 0
median ul throughput:400.0, 400.0, 400.0, dl throughput:400.0, 400.0, 400.0, median ul mbs throughput:400.0, 400.0, 400.0, dl mbsthroughput:400.0, 400.0, 400.0, median ul sbs throughput:0, 0, 0, dl sbs throughput:0, 0, 0
median ul throughput:400.0, 400.0, 230.0, dl throughput:400.0, 400.0, 160.0, median ul mbs throughput:400.0, 400.0, 230.0, dl mbsthroughput:400.0, 400.0, 160.0, median ul sbs throughput:0, 0, 0, dl sbs throughput:0, 0, 0
median ul throughput:200.0, 44.44444444444444, 15.384615384615383, dl throughput:133.33333333333334, 66.66666666666667, 25.757575757575758, median ul mbs throughput:0, 0, 0, dl mbsthroughput:0, 0, 0, median ul sbs throughput:200.0, 44.44444444444444, 15.384615384615383, dl sbs throughput:133.33333333333334, 66.66666666666667, 25.757575757575758
median ul throughput:133.33333333333334, 34.285714285714285, 14.999999999999998, dl throughput:133.33333333333334, 53.57142857142857, 35.55555555555556, median ul mbs throughput:0, 0, 0, dl mbsthroughput:0, 0, 0, median ul sbs throughput:133.33333333333334, 34.285714285714285, 14.999999999999998, dl sbs throughput:133.33333333333334, 53.57142857142857, 35.55555555555556
median ul throughput:50.79365079365079, 16.666666666666668, 13.563218390804598, dl throughput:27.238095238095237, 16.0, 12.121212121212121, median ul mbs throughput:0, 0, 0, dl mbsthroughput:0, 0, 0, median ul sbs throughput:50.79365079365079, 16.666666666666668, 13.563218390804598, dl sbs throughput:27.238095238095237, 16.0, 12.121212121212121
